Name EN,Name ZH
Pro Yakyuu Greatest Nine '98 - Summer Action (Japan),最强九人棒球 '98 - 夏季运动
Zen Nihon Pro Wres featuring Virtua (Japan) (Rev A),全日本职业摔跤VR版
Kakinoki Shougi (Japan),柿木将棋
Fire Prowrestling S - 6Men Scramble (Japan) (2M),火爆摔跤 S - 6人大战
Sotsugyou II - Neo Generation (Japan) (2M),卒业 2
Sangokushi Eiketsuden (Japan),三国志 - 英杰传
Daikoukai Jidai II (Japan),大航海时代 2
Sangokushi Koumeiden (Japan),三国志 - 孔明传
Nobunaga no Yabou - Sengoku Gunyuuden (Japan),信长野望 - 战国群雄传
Taikou Risshiden II (Japan) (Rev A) (10M),太阁立志传 2
Alone in the Dark 2 (Japan),鬼屋魔影 2
Moon Cradle (Japan) (Disc 1),月面摇篮
Moon Cradle (Japan) (Disc 2),月面摇篮
Moon Cradle (Japan) (Disc 3),月面摇篮
Kidou Senshi Gundam - Gihren no Yabou (Japan),机动战士高达 - 基连之野望
Kindaichi Shounen no Jikenbo - Hoshimitou Kanashimi no Fukushuuki (Japan),金田一少年事件簿 - 星见岛悲伤的复仇鬼
ClockWerx (Japan),时钟机关之星
Battle Monsters (Japan),战争机器怪物
Falcom Classics (Japan) (Disc 1) (Game Disc),Falcom经典怀旧合集
Falcom Classics II (Japan) (Genteiban),Falcom经典怀旧合集 2
Pastel Muses (Japan),蜡笔女神
Senkutsu Katsuryu Taisen - Chaos Seed (Japan) (Disc 1) (Game Disc) (Rev A) (10M),仙窟活龙大战 - 混乱种子
Senkutsu Katsuryu Taisen - Chaos Seed (Japan) (Disc 2) (Omake Disc),仙窟活龙大战 - 混乱种子
Sakura Taisen - Teigeki Graph - Teigeki Graph in Sakura Wars (Japan) (Disc 1),樱花大战 - 帝击画报
Sakura Taisen - Teigeki Graph - Teigeki Graph in Sakura Wars (Japan) (Disc 2),樱花大战 - 帝击画报
Cat the Ripper - 13Ninme no Tanteishi (Japan),第十三名侦探
Fishing Koushien (Japan),钓鱼甲子园
"Real Sound - Kaze no Regret (Japan) (Disc 1) (2M, 3M)",
Real Sound - Kaze no Regret (Japan) (Disc 2) (1M),
Real Sound - Kaze no Regret (Japan) (Disc 3) (2M),
Real Sound - Kaze no Regret (Japan) (Disc 4) (3M),
Sakura Taisen (Japan) (Disc 2) (7M),樱花大战
Baroque (Japan),巴洛克
Mahoutsukai ni Naru Houhou (Japan),成为魔法使的方法
Radiant Silvergun (Japan),闪亮银枪
Silhouette Mirage (Japan),侧影幻像
Steam-Heart's (Japan),蒸汽之心
Touryuu Densetsu Elan Doree (Japan),斗龙传说
Twinkle Star Sprites (Japan) (Disc 1) (Game Disc),梦幻小妖精双子星大进击
Twinkle Star Sprites (Japan) (Disc 2) (Omake Disc),梦幻小妖精双子星大进击
Whizz (Japan),梦游仙境兔
"J.League Victory Goal '96 (Japan) (1M, 3M)",J联赛胜利足球 '96
Firestorm - Thunderhawk 2 (Germany),火焰风暴 - 雷霆飞鹰 2
Shellshock (Germany),弹震症
Cyber Speedway (Europe) (RE),赛博高速公路
F-1 Challenge (Europe),F1挑战赛
Pebble Beach Golf Links (Europe) (4S),圆石滩高尔夫
"King of Fighters '96, The (Japan) (4M, 5M)",拳皇 '96
